run_id;RF;Ni_pct;Cu_pct;contamination;k0_eff;Gamma_eff;Au_fraction;I_peak_nA;E_peak_V;FWHM_mV;I_baseline_uA;sigma_baseline_nA;SNR;R2_gaussian;baseline_ratio_pct;status;output_dir;frequency;R_u;IR_drop_mV;K_dimensionless;swv_png;components_png;baseline_png;data_csv
73;2.0;0;0;0.0;37.04;8e-08;1.0;3123.1897;-0.24;56.0;2.212;1.5;2076.1;0.9992;41.5;OK;073_RF2.0_Ni0_Cu0_C0;25.0;0.0;0.0;1.4816;073_RF2.0_Ni0_Cu0_C0/deliverables/073_RF2.0_Ni0_Cu0_C0_SWV_curve.png;073_RF2.0_Ni0_Cu0_C0/deliverables/073_RF2.0_Ni0_Cu0_C0_components.png;073_RF2.0_Ni0_Cu0_C0/deliverables/073_RF2.0_Ni0_Cu0_C0_baseline_zoom.png;073_RF2.0_Ni0_Cu0_C0/swv_data.csv
74;2.0;0;0;0.1;37.04;7.2e-08;0.9;2530.7598;-0.24;56.0;2.2125;1.44;1753.3;0.9992;46.6;OK;074_RF2.0_Ni0_Cu0_C0;25.0;0.0;0.0;1.4816;074_RF2.0_Ni0_Cu0_C0/deliverables/074_RF2.0_Ni0_Cu0_C0_SWV_curve.png;074_RF2.0_Ni0_Cu0_C0/deliverables/074_RF2.0_Ni0_Cu0_C0_components.png;074_RF2.0_Ni0_Cu0_C0/deliverables/074_RF2.0_Ni0_Cu0_C0_baseline_zoom.png;074_RF2.0_Ni0_Cu0_C0/swv_data.csv
75;2.0;0;0;0.3;37.04;5.6e-08;0.7;1530.4568;-0.24;56.0;2.2124;1.09;1399.2;0.9992;59.1;OK;075_RF2.0_Ni0_Cu0_C0;25.0;0.0;0.0;1.4816;075_RF2.0_Ni0_Cu0_C0/deliverables/075_RF2.0_Ni0_Cu0_C0_SWV_curve.png;075_RF2.0_Ni0_Cu0_C0/deliverables/075_RF2.0_Ni0_Cu0_C0_components.png;075_RF2.0_Ni0_Cu0_C0/deliverables/075_RF2.0_Ni0_Cu0_C0_baseline_zoom.png;075_RF2.0_Ni0_Cu0_C0/swv_data.csv
76;2.0;0;2;0.0;37.04;7.84e-08;0.98;3062.1508;-0.24;56.0;2.3449;1.47;2083.1;0.9992;43.4;OK;076_RF2.0_Ni0_Cu2_C0;25.0;0.0;0.0;1.4816;076_RF2.0_Ni0_Cu2_C0/deliverables/076_RF2.0_Ni0_Cu2_C0_SWV_curve.png;076_RF2.0_Ni0_Cu2_C0/deliverables/076_RF2.0_Ni0_Cu2_C0_components.png;076_RF2.0_Ni0_Cu2_C0/deliverables/076_RF2.0_Ni0_Cu2_C0_baseline_zoom.png;076_RF2.0_Ni0_Cu2_C0/swv_data.csv
77;2.0;0;2;0.1;37.04;7.04e-08;0.88;2474.6772;-0.24;56.0;2.3452;1.41;1758.5;0.9992;48.7;OK;077_RF2.0_Ni0_Cu2_C0;25.0;0.0;0.0;1.4816;077_RF2.0_Ni0_Cu2_C0/deliverables/077_RF2.0_Ni0_Cu2_C0_SWV_curve.png;077_RF2.0_Ni0_Cu2_C0/deliverables/077_RF2.0_Ni0_Cu2_C0_components.png;077_RF2.0_Ni0_Cu2_C0/deliverables/077_RF2.0_Ni0_Cu2_C0_baseline_zoom.png;077_RF2.0_Ni0_Cu2_C0/swv_data.csv
78;2.0;0;2;0.3;37.04;5.44e-08;0.68;1485.5048;-0.24;56.0;2.3454;1.42;1045.6;0.9992;61.2;OK;078_RF2.0_Ni0_Cu2_C0;25.0;0.0;0.0;1.4816;078_RF2.0_Ni0_Cu2_C0/deliverables/078_RF2.0_Ni0_Cu2_C0_SWV_curve.png;078_RF2.0_Ni0_Cu2_C0/deliverables/078_RF2.0_Ni0_Cu2_C0_components.png;078_RF2.0_Ni0_Cu2_C0/deliverables/078_RF2.0_Ni0_Cu2_C0_baseline_zoom.png;078_RF2.0_Ni0_Cu2_C0/swv_data.csv
79;2.0;0;5;0.0;37.04;7.6e-08;0.95;2969.8804;-0.24;56.0;2.5443;1.95;1519.3;0.9992;46.1;OK;079_RF2.0_Ni0_Cu5_C0;25.0;0.0;0.0;1.4816;079_RF2.0_Ni0_Cu5_C0/deliverables/079_RF2.0_Ni0_Cu5_C0_SWV_curve.png;079_RF2.0_Ni0_Cu5_C0/deliverables/079_RF2.0_Ni0_Cu5_C0_components.png;079_RF2.0_Ni0_Cu5_C0/deliverables/079_RF2.0_Ni0_Cu5_C0_baseline_zoom.png;079_RF2.0_Ni0_Cu5_C0/swv_data.csv
80;2.0;0;5;0.1;37.04;6.8e-08;0.85;2388.7778;-0.24;56.0;2.5443;1.58;1515.5;0.9992;51.6;OK;080_RF2.0_Ni0_Cu5_C0;25.0;0.0;0.0;1.4816;080_RF2.0_Ni0_Cu5_C0/deliverables/080_RF2.0_Ni0_Cu5_C0_SWV_curve.png;080_RF2.0_Ni0_Cu5_C0/deliverables/080_RF2.0_Ni0_Cu5_C0_components.png;080_RF2.0_Ni0_Cu5_C0/deliverables/080_RF2.0_Ni0_Cu5_C0_baseline_zoom.png;080_RF2.0_Ni0_Cu5_C0/swv_data.csv
81;2.0;0;5;0.3;37.04;5.2e-08;0.65;1420.3082;-0.24;56.0;2.5442;1.76;808.9;0.9992;64.2;OK;081_RF2.0_Ni0_Cu5_C0;25.0;0.0;0.0;1.4816;081_RF2.0_Ni0_Cu5_C0/deliverables/081_RF2.0_Ni0_Cu5_C0_SWV_curve.png;081_RF2.0_Ni0_Cu5_C0/deliverables/081_RF2.0_Ni0_Cu5_C0_components.png;081_RF2.0_Ni0_Cu5_C0/deliverables/081_RF2.0_Ni0_Cu5_C0_baseline_zoom.png;081_RF2.0_Ni0_Cu5_C0/swv_data.csv
82;2.0;2;0;0.0;37.04;7.84e-08;0.98;3057.5067;-0.24;56.0;2.3038;2.46;1242.7;0.9992;43.0;OK;082_RF2.0_Ni2_Cu0_C0;25.0;0.0;0.0;1.4816;082_RF2.0_Ni2_Cu0_C0/deliverables/082_RF2.0_Ni2_Cu0_C0_SWV_curve.png;082_RF2.0_Ni2_Cu0_C0/deliverables/082_RF2.0_Ni2_Cu0_C0_components.png;082_RF2.0_Ni2_Cu0_C0/deliverables/082_RF2.0_Ni2_Cu0_C0_baseline_zoom.png;082_RF2.0_Ni2_Cu0_C0/swv_data.csv
83;2.0;2;0;0.1;37.04;7.04e-08;0.88;2473.9615;-0.24;56.0;2.3031;2.17;1141.0;0.9992;48.2;OK;083_RF2.0_Ni2_Cu0_C0;25.0;0.0;0.0;1.4816;083_RF2.0_Ni2_Cu0_C0/deliverables/083_RF2.0_Ni2_Cu0_C0_SWV_curve.png;083_RF2.0_Ni2_Cu0_C0/deliverables/083_RF2.0_Ni2_Cu0_C0_components.png;083_RF2.0_Ni2_Cu0_C0/deliverables/083_RF2.0_Ni2_Cu0_C0_baseline_zoom.png;083_RF2.0_Ni2_Cu0_C0/swv_data.csv
84;2.0;2;0;0.3;37.04;5.44e-08;0.68;1482.8356;-0.24;56.0;2.3043;3.1;478.1;0.9992;60.8;OK;084_RF2.0_Ni2_Cu0_C0;25.0;0.0;0.0;1.4816;084_RF2.0_Ni2_Cu0_C0/deliverables/084_RF2.0_Ni2_Cu0_C0_SWV_curve.png;084_RF2.0_Ni2_Cu0_C0/deliverables/084_RF2.0_Ni2_Cu0_C0_components.png;084_RF2.0_Ni2_Cu0_C0/deliverables/084_RF2.0_Ni2_Cu0_C0_baseline_zoom.png;084_RF2.0_Ni2_Cu0_C0/swv_data.csv
85;2.0;2;2;0.0;37.04;7.68e-08;0.96;2994.59;-0.24;56.0;2.4368;2.28;1315.7;0.9992;44.9;OK;085_RF2.0_Ni2_Cu2_C0;25.0;0.0;0.0;1.4816;085_RF2.0_Ni2_Cu2_C0/deliverables/085_RF2.0_Ni2_Cu2_C0_SWV_curve.png;085_RF2.0_Ni2_Cu2_C0/deliverables/085_RF2.0_Ni2_Cu2_C0_components.png;085_RF2.0_Ni2_Cu2_C0/deliverables/085_RF2.0_Ni2_Cu2_C0_baseline_zoom.png;085_RF2.0_Ni2_Cu2_C0/swv_data.csv
86;2.0;2;2;0.1;37.04;6.88e-08;0.86;2415.3796;-0.24;56.0;2.4369;2.65;912.1;0.9992;50.2;OK;086_RF2.0_Ni2_Cu2_C0;25.0;0.0;0.0;1.4816;086_RF2.0_Ni2_Cu2_C0/deliverables/086_RF2.0_Ni2_Cu2_C0_SWV_curve.png;086_RF2.0_Ni2_Cu2_C0/deliverables/086_RF2.0_Ni2_Cu2_C0_components.png;086_RF2.0_Ni2_Cu2_C0/deliverables/086_RF2.0_Ni2_Cu2_C0_baseline_zoom.png;086_RF2.0_Ni2_Cu2_C0/swv_data.csv
87;2.0;2;2;0.3;37.04;5.28e-08;0.66;1438.9989;-0.24;56.0;2.4373;2.37;606.7;0.9992;62.9;OK;087_RF2.0_Ni2_Cu2_C0;25.0;0.0;0.0;1.4816;087_RF2.0_Ni2_Cu2_C0/deliverables/087_RF2.0_Ni2_Cu2_C0_SWV_curve.png;087_RF2.0_Ni2_Cu2_C0/deliverables/087_RF2.0_Ni2_Cu2_C0_components.png;087_RF2.0_Ni2_Cu2_C0/deliverables/087_RF2.0_Ni2_Cu2_C0_baseline_zoom.png;087_RF2.0_Ni2_Cu2_C0/swv_data.csv
88;2.0;2;5;0.0;37.04;7.44e-08;0.93;2903.2371;-0.24;56.0;2.6358;3.17;916.7;0.9992;47.6;OK;088_RF2.0_Ni2_Cu5_C0;25.0;0.0;0.0;1.4816;088_RF2.0_Ni2_Cu5_C0/deliverables/088_RF2.0_Ni2_Cu5_C0_SWV_curve.png;088_RF2.0_Ni2_Cu5_C0/deliverables/088_RF2.0_Ni2_Cu5_C0_components.png;088_RF2.0_Ni2_Cu5_C0/deliverables/088_RF2.0_Ni2_Cu5_C0_baseline_zoom.png;088_RF2.0_Ni2_Cu5_C0/swv_data.csv
89;2.0;2;5;0.1;37.04;6.64e-08;0.83;2331.2134;-0.24;56.0;2.6363;3.14;743.3;0.9992;53.1;OK;089_RF2.0_Ni2_Cu5_C0;25.0;0.0;0.0;1.4816;089_RF2.0_Ni2_Cu5_C0/deliverables/089_RF2.0_Ni2_Cu5_C0_SWV_curve.png;089_RF2.0_Ni2_Cu5_C0/deliverables/089_RF2.0_Ni2_Cu5_C0_components.png;089_RF2.0_Ni2_Cu5_C0/deliverables/089_RF2.0_Ni2_Cu5_C0_baseline_zoom.png;089_RF2.0_Ni2_Cu5_C0/swv_data.csv
90;2.0;2;5;0.3;37.04;5.04e-08;0.63;1373.0197;-0.24;56.0;2.6355;3.28;418.5;0.9992;65.7;OK;090_RF2.0_Ni2_Cu5_C0;25.0;0.0;0.0;1.4816;090_RF2.0_Ni2_Cu5_C0/deliverables/090_RF2.0_Ni2_Cu5_C0_SWV_curve.png;090_RF2.0_Ni2_Cu5_C0/deliverables/090_RF2.0_Ni2_Cu5_C0_components.png;090_RF2.0_Ni2_Cu5_C0/deliverables/090_RF2.0_Ni2_Cu5_C0_baseline_zoom.png;090_RF2.0_Ni2_Cu5_C0/swv_data.csv
91;2.0;5;0;0.0;37.04;7.6e-08;0.95;2958.7507;-0.24;56.0;2.4419;5.01;590.3;0.9992;45.2;OK;091_RF2.0_Ni5_Cu0_C0;25.0;0.0;0.0;1.4816;091_RF2.0_Ni5_Cu0_C0/deliverables/091_RF2.0_Ni5_Cu0_C0_SWV_curve.png;091_RF2.0_Ni5_Cu0_C0/deliverables/091_RF2.0_Ni5_Cu0_C0_components.png;091_RF2.0_Ni5_Cu0_C0/deliverables/091_RF2.0_Ni5_Cu0_C0_baseline_zoom.png;091_RF2.0_Ni5_Cu0_C0/swv_data.csv
92;2.0;5;0;0.1;37.04;6.8e-08;0.85;2382.9503;-0.24;56.0;2.4411;6.15;387.6;0.9992;50.6;OK;092_RF2.0_Ni5_Cu0_C0;25.0;0.0;0.0;1.4816;092_RF2.0_Ni5_Cu0_C0/deliverables/092_RF2.0_Ni5_Cu0_C0_SWV_curve.png;092_RF2.0_Ni5_Cu0_C0/deliverables/092_RF2.0_Ni5_Cu0_C0_components.png;092_RF2.0_Ni5_Cu0_C0/deliverables/092_RF2.0_Ni5_Cu0_C0_baseline_zoom.png;092_RF2.0_Ni5_Cu0_C0/swv_data.csv
93;2.0;5;0;0.3;37.04;5.2e-08;0.65;1416.6607;-0.24;56.0;2.4415;6.02;235.2;0.9991;63.3;OK;093_RF2.0_Ni5_Cu0_C0;25.0;0.0;0.0;1.4816;093_RF2.0_Ni5_Cu0_C0/deliverables/093_RF2.0_Ni5_Cu0_C0_SWV_curve.png;093_RF2.0_Ni5_Cu0_C0/deliverables/093_RF2.0_Ni5_Cu0_C0_components.png;093_RF2.0_Ni5_Cu0_C0/deliverables/093_RF2.0_Ni5_Cu0_C0_baseline_zoom.png;093_RF2.0_Ni5_Cu0_C0/swv_data.csv
94;2.0;5;2;0.0;37.04;7.44e-08;0.93;2894.9663;-0.24;56.0;2.5741;5.75;503.6;0.9992;47.1;OK;094_RF2.0_Ni5_Cu2_C0;25.0;0.0;0.0;1.4816;094_RF2.0_Ni5_Cu2_C0/deliverables/094_RF2.0_Ni5_Cu2_C0_SWV_curve.png;094_RF2.0_Ni5_Cu2_C0/deliverables/094_RF2.0_Ni5_Cu2_C0_components.png;094_RF2.0_Ni5_Cu2_C0/deliverables/094_RF2.0_Ni5_Cu2_C0_baseline_zoom.png;094_RF2.0_Ni5_Cu2_C0/swv_data.csv
95;2.0;5;2;0.1;37.04;6.64e-08;0.83;2326.271;-0.24;56.0;2.574;5.44;427.5;0.9992;52.5;OK;095_RF2.0_Ni5_Cu2_C0;25.0;0.0;0.0;1.4816;095_RF2.0_Ni5_Cu2_C0/deliverables/095_RF2.0_Ni5_Cu2_C0_SWV_curve.png;095_RF2.0_Ni5_Cu2_C0/deliverables/095_RF2.0_Ni5_Cu2_C0_components.png;095_RF2.0_Ni5_Cu2_C0/deliverables/095_RF2.0_Ni5_Cu2_C0_baseline_zoom.png;095_RF2.0_Ni5_Cu2_C0/swv_data.csv
96;2.0;5;2;0.3;37.04;5.04e-08;0.63;1370.243;-0.24;56.0;2.5742;5.25;261.0;0.9992;65.3;OK;096_RF2.0_Ni5_Cu2_C0;25.0;0.0;0.0;1.4816;096_RF2.0_Ni5_Cu2_C0/deliverables/096_RF2.0_Ni5_Cu2_C0_SWV_curve.png;096_RF2.0_Ni5_Cu2_C0/deliverables/096_RF2.0_Ni5_Cu2_C0_components.png;096_RF2.0_Ni5_Cu2_C0/deliverables/096_RF2.0_Ni5_Cu2_C0_baseline_zoom.png;096_RF2.0_Ni5_Cu2_C0/swv_data.csv
97;2.0;5;5;0.0;37.04;7.2e-08;0.9;2802.7884;-0.24;56.0;2.7733;5.2;538.5;0.9992;49.7;OK;097_RF2.0_Ni5_Cu5_C0;25.0;0.0;0.0;1.4816;097_RF2.0_Ni5_Cu5_C0/deliverables/097_RF2.0_Ni5_Cu5_C0_SWV_curve.png;097_RF2.0_Ni5_Cu5_C0/deliverables/097_RF2.0_Ni5_Cu5_C0_components.png;097_RF2.0_Ni5_Cu5_C0/deliverables/097_RF2.0_Ni5_Cu5_C0_baseline_zoom.png;097_RF2.0_Ni5_Cu5_C0/swv_data.csv
98;2.0;5;5;0.1;37.04;6.4e-08;0.8;2244.9039;-0.24;56.0;2.7732;6.3;356.2;0.9992;55.3;OK;098_RF2.0_Ni5_Cu5_C0;25.0;0.0;0.0;1.4816;098_RF2.0_Ni5_Cu5_C0/deliverables/098_RF2.0_Ni5_Cu5_C0_SWV_curve.png;098_RF2.0_Ni5_Cu5_C0/deliverables/098_RF2.0_Ni5_Cu5_C0_components.png;098_RF2.0_Ni5_Cu5_C0/deliverables/098_RF2.0_Ni5_Cu5_C0_baseline_zoom.png;098_RF2.0_Ni5_Cu5_C0/swv_data.csv
99;2.0;5;5;0.3;37.04;4.8e-08;0.6;1304.4029;-0.24;56.0;2.7735;6.13;213.0;0.9991;68.0;OK;099_RF2.0_Ni5_Cu5_C0;25.0;0.0;0.0;1.4816;099_RF2.0_Ni5_Cu5_C0/deliverables/099_RF2.0_Ni5_Cu5_C0_SWV_curve.png;099_RF2.0_Ni5_Cu5_C0/deliverables/099_RF2.0_Ni5_Cu5_C0_components.png;099_RF2.0_Ni5_Cu5_C0/deliverables/099_RF2.0_Ni5_Cu5_C0_baseline_zoom.png;099_RF2.0_Ni5_Cu5_C0/swv_data.csv
100;2.0;10;0;0.0;37.04;7.2e-08;0.9;2793.4235;-0.24;56.0;2.6699;10.7;261.1;0.9992;48.9;OK;100_RF2.0_Ni10_Cu0_C0;25.0;0.0;0.0;1.4816;100_RF2.0_Ni10_Cu0_C0/deliverables/100_RF2.0_Ni10_Cu0_C0_SWV_curve.png;100_RF2.0_Ni10_Cu0_C0/deliverables/100_RF2.0_Ni10_Cu0_C0_components.png;100_RF2.0_Ni10_Cu0_C0/deliverables/100_RF2.0_Ni10_Cu0_C0_baseline_zoom.png;100_RF2.0_Ni10_Cu0_C0/swv_data.csv
101;2.0;10;0;0.1;37.04;6.4e-08;0.8;2233.1352;-0.24;56.0;2.6695;11.86;188.3;0.9991;54.4;OK;101_RF2.0_Ni10_Cu0_C0;25.0;0.0;0.0;1.4816;101_RF2.0_Ni10_Cu0_C0/deliverables/101_RF2.0_Ni10_Cu0_C0_SWV_curve.png;101_RF2.0_Ni10_Cu0_C0/deliverables/101_RF2.0_Ni10_Cu0_C0_components.png;101_RF2.0_Ni10_Cu0_C0/deliverables/101_RF2.0_Ni10_Cu0_C0_baseline_zoom.png;101_RF2.0_Ni10_Cu0_C0/swv_data.csv
102;2.0;10;0;0.3;37.04;4.8e-08;0.6;1299.8831;-0.24;56.0;2.6705;10.71;121.4;0.9987;67.3;OK;102_RF2.0_Ni10_Cu0_C0;25.0;0.0;0.0;1.4816;102_RF2.0_Ni10_Cu0_C0/deliverables/102_RF2.0_Ni10_Cu0_C0_SWV_curve.png;102_RF2.0_Ni10_Cu0_C0/deliverables/102_RF2.0_Ni10_Cu0_C0_components.png;102_RF2.0_Ni10_Cu0_C0/deliverables/102_RF2.0_Ni10_Cu0_C0_baseline_zoom.png;102_RF2.0_Ni10_Cu0_C0/swv_data.csv
103;2.0;10;2;0.0;37.04;7.04e-08;0.88;2729.5143;-0.24;56.0;2.8029;10.7;255.1;0.9992;50.7;OK;103_RF2.0_Ni10_Cu2_C0;25.0;0.0;0.0;1.4816;103_RF2.0_Ni10_Cu2_C0/deliverables/103_RF2.0_Ni10_Cu2_C0_SWV_curve.png;103_RF2.0_Ni10_Cu2_C0/deliverables/103_RF2.0_Ni10_Cu2_C0_components.png;103_RF2.0_Ni10_Cu2_C0/deliverables/103_RF2.0_Ni10_Cu2_C0_baseline_zoom.png;103_RF2.0_Ni10_Cu2_C0/swv_data.csv
104;2.0;10;2;0.1;37.04;6.24e-08;0.78;2176.7327;-0.24;56.0;2.8026;11.14;195.3;0.9991;56.3;OK;104_RF2.0_Ni10_Cu2_C0;25.0;0.0;0.0;1.4816;104_RF2.0_Ni10_Cu2_C0/deliverables/104_RF2.0_Ni10_Cu2_C0_SWV_curve.png;104_RF2.0_Ni10_Cu2_C0/deliverables/104_RF2.0_Ni10_Cu2_C0_components.png;104_RF2.0_Ni10_Cu2_C0/deliverables/104_RF2.0_Ni10_Cu2_C0_baseline_zoom.png;104_RF2.0_Ni10_Cu2_C0/swv_data.csv
105;2.0;10;2;0.3;37.04;4.64e-08;0.58;1255.4921;-0.24;56.0;2.8031;11.21;112.0;0.9987;69.1;OK;105_RF2.0_Ni10_Cu2_C0;25.0;0.0;0.0;1.4816;105_RF2.0_Ni10_Cu2_C0/deliverables/105_RF2.0_Ni10_Cu2_C0_SWV_curve.png;105_RF2.0_Ni10_Cu2_C0/deliverables/105_RF2.0_Ni10_Cu2_C0_components.png;105_RF2.0_Ni10_Cu2_C0/deliverables/105_RF2.0_Ni10_Cu2_C0_baseline_zoom.png;105_RF2.0_Ni10_Cu2_C0/swv_data.csv
106;2.0;10;5;0.0;37.04;6.8e-08;0.85;2641.0548;-0.24;56.0;3.0024;11.63;227.1;0.9992;53.2;OK;106_RF2.0_Ni10_Cu5_C0;25.0;0.0;0.0;1.4816;106_RF2.0_Ni10_Cu5_C0/deliverables/106_RF2.0_Ni10_Cu5_C0_SWV_curve.png;106_RF2.0_Ni10_Cu5_C0/deliverables/106_RF2.0_Ni10_Cu5_C0_components.png;106_RF2.0_Ni10_Cu5_C0/deliverables/106_RF2.0_Ni10_Cu5_C0_baseline_zoom.png;106_RF2.0_Ni10_Cu5_C0/swv_data.csv
107;2.0;10;5;0.1;37.04;6e-08;0.75;2087.8224;-0.24;56.0;3.0035;11.28;185.1;0.9991;59.0;OK;107_RF2.0_Ni10_Cu5_C0;25.0;0.0;0.0;1.4816;107_RF2.0_Ni10_Cu5_C0/deliverables/107_RF2.0_Ni10_Cu5_C0_SWV_curve.png;107_RF2.0_Ni10_Cu5_C0/deliverables/107_RF2.0_Ni10_Cu5_C0_components.png;107_RF2.0_Ni10_Cu5_C0/deliverables/107_RF2.0_Ni10_Cu5_C0_baseline_zoom.png;107_RF2.0_Ni10_Cu5_C0/swv_data.csv
108;2.0;10;5;0.3;37.04;4.4e-08;0.55;1187.2421;-0.24;56.0;3.0025;11.58;102.5;0.9987;71.7;OK;108_RF2.0_Ni10_Cu5_C0;25.0;0.0;0.0;1.4816;108_RF2.0_Ni10_Cu5_C0/deliverables/108_RF2.0_Ni10_Cu5_C0_SWV_curve.png;108_RF2.0_Ni10_Cu5_C0/deliverables/108_RF2.0_Ni10_Cu5_C0_components.png;108_RF2.0_Ni10_Cu5_C0/deliverables/108_RF2.0_Ni10_Cu5_C0_baseline_zoom.png;108_RF2.0_Ni10_Cu5_C0/swv_data.csv
