run_id;RF;Ni_pct;Cu_pct;contamination;frequency;R_u;k0_eff;Gamma_eff;Au_fraction;I_peak_nA;E_peak_V;FWHM_mV;I_baseline_uA;sigma_baseline_nA;SNR;R2_gaussian;baseline_ratio_pct;IR_drop_mV;K_dimensionless;status;output_dir;swv_png;components_png;baseline_png;data_csv
27;2.0;5;0;0;25;100;37.04;7.60e-08;0.950;2946.6028;-0.2400;56.00;2.4416;5.96;494.7;0.9992;45.3;0.26;1.48;OK;027_RF2.0_Ni5_Ru100;027_RF2.0_Ni5_Ru100/deliverables/027_RF2.0_Ni5_Ru100_SWV_curve.png;027_RF2.0_Ni5_Ru100/deliverables/027_RF2.0_Ni5_Ru100_components.png;027_RF2.0_Ni5_Ru100/deliverables/027_RF2.0_Ni5_Ru100_baseline_zoom.png;027_RF2.0_Ni5_Ru100/swv_data.csv
28;2.0;5;0;0;25;200;37.04;7.60e-08;0.950;2925.2085;-0.2400;56.00;2.4414;5.56;526.4;0.9992;45.5;0.52;1.48;OK;028_RF2.0_Ni5_Ru200;028_RF2.0_Ni5_Ru200/deliverables/028_RF2.0_Ni5_Ru200_SWV_curve.png;028_RF2.0_Ni5_Ru200/deliverables/028_RF2.0_Ni5_Ru200_components.png;028_RF2.0_Ni5_Ru200/deliverables/028_RF2.0_Ni5_Ru200_baseline_zoom.png;028_RF2.0_Ni5_Ru200/swv_data.csv
29;2.0;5;0;0;25;500;37.04;7.60e-08;0.950;2876.0638;-0.2400;56.00;2.4418;5.66;508.2;0.9993;45.9;1.29;1.48;OK;029_RF2.0_Ni5_Ru500;029_RF2.0_Ni5_Ru500/deliverables/029_RF2.0_Ni5_Ru500_SWV_curve.png;029_RF2.0_Ni5_Ru500/deliverables/029_RF2.0_Ni5_Ru500_components.png;029_RF2.0_Ni5_Ru500/deliverables/029_RF2.0_Ni5_Ru500_baseline_zoom.png;029_RF2.0_Ni5_Ru500/swv_data.csv
30;2.0;5;0;0;25;1000;37.04;7.60e-08;0.950;2799.3128;-0.2400;56.00;2.4406;5.23;534.8;0.9993;46.6;2.54;1.48;OK;030_RF2.0_Ni5_Ru1000;030_RF2.0_Ni5_Ru1000/deliverables/030_RF2.0_Ni5_Ru1000_SWV_curve.png;030_RF2.0_Ni5_Ru1000/deliverables/030_RF2.0_Ni5_Ru1000_components.png;030_RF2.0_Ni5_Ru1000/deliverables/030_RF2.0_Ni5_Ru1000_baseline_zoom.png;030_RF2.0_Ni5_Ru1000/swv_data.csv
31;2.0;10;0;0;25;0;37.04;7.20e-08;0.900;2794.7073;-0.2400;56.00;2.6706;11.20;249.4;0.9992;48.9;0.00;1.48;OK;031_RF2.0_Ni10_Ru0;031_RF2.0_Ni10_Ru0/deliverables/031_RF2.0_Ni10_Ru0_SWV_curve.png;031_RF2.0_Ni10_Ru0/deliverables/031_RF2.0_Ni10_Ru0_components.png;031_RF2.0_Ni10_Ru0/deliverables/031_RF2.0_Ni10_Ru0_baseline_zoom.png;031_RF2.0_Ni10_Ru0/swv_data.csv
32;2.0;10;0;0;25;50;37.04;7.20e-08;0.900;2791.0642;-0.2400;56.00;2.6710;10.86;256.9;0.9992;48.9;0.13;1.48;OK;032_RF2.0_Ni10_Ru50;032_RF2.0_Ni10_Ru50/deliverables/032_RF2.0_Ni10_Ru50_SWV_curve.png;032_RF2.0_Ni10_Ru50/deliverables/032_RF2.0_Ni10_Ru50_components.png;032_RF2.0_Ni10_Ru50/deliverables/032_RF2.0_Ni10_Ru50_baseline_zoom.png;032_RF2.0_Ni10_Ru50/swv_data.csv
33;2.0;10;0;0;25;100;37.04;7.20e-08;0.900;2777.4121;-0.2400;56.00;2.6706;10.95;253.6;0.9992;49.0;0.27;1.48;OK;033_RF2.0_Ni10_Ru100;033_RF2.0_Ni10_Ru100/deliverables/033_RF2.0_Ni10_Ru100_SWV_curve.png;033_RF2.0_Ni10_Ru100/deliverables/033_RF2.0_Ni10_Ru100_components.png;033_RF2.0_Ni10_Ru100/deliverables/033_RF2.0_Ni10_Ru100_baseline_zoom.png;033_RF2.0_Ni10_Ru100/swv_data.csv
34;2.0;10;0;0;25;200;37.04;7.20e-08;0.900;2763.9753;-0.2400;56.00;2.6709;11.51;240.2;0.9992;49.1;0.53;1.48;OK;034_RF2.0_Ni10_Ru200;034_RF2.0_Ni10_Ru200/deliverables/034_RF2.0_Ni10_Ru200_SWV_curve.png;034_RF2.0_Ni10_Ru200/deliverables/034_RF2.0_Ni10_Ru200_components.png;034_RF2.0_Ni10_Ru200/deliverables/034_RF2.0_Ni10_Ru200_baseline_zoom.png;034_RF2.0_Ni10_Ru200/swv_data.csv
35;2.0;10;0;0;25;500;37.04;7.20e-08;0.900;2720.7862;-0.2400;56.00;2.6704;11.30;240.9;0.9992;49.5;1.31;1.48;OK;035_RF2.0_Ni10_Ru500;035_RF2.0_Ni10_Ru500/deliverables/035_RF2.0_Ni10_Ru500_SWV_curve.png;035_RF2.0_Ni10_Ru500/deliverables/035_RF2.0_Ni10_Ru500_components.png;035_RF2.0_Ni10_Ru500/deliverables/035_RF2.0_Ni10_Ru500_baseline_zoom.png;035_RF2.0_Ni10_Ru500/swv_data.csv
36;2.0;10;0;0;25;1000;37.04;7.20e-08;0.900;2647.9302;-0.2400;56.00;2.6704;9.97;265.6;0.9993;50.2;2.59;1.48;OK;036_RF2.0_Ni10_Ru1000;036_RF2.0_Ni10_Ru1000/deliverables/036_RF2.0_Ni10_Ru1000_SWV_curve.png;036_RF2.0_Ni10_Ru1000/deliverables/036_RF2.0_Ni10_Ru1000_components.png;036_RF2.0_Ni10_Ru1000/deliverables/036_RF2.0_Ni10_Ru1000_baseline_zoom.png;036_RF2.0_Ni10_Ru1000/swv_data.csv
37;5.0;0;0;0;25;0;15.06;8.00e-08;1.000;4103.7043;-0.2440;60.00;5.5313;2.59;1584.0;0.9984;57.4;0.00;0.60;OK;037_RF5.0_Ni0_Ru0;037_RF5.0_Ni0_Ru0/deliverables/037_RF5.0_Ni0_Ru0_SWV_curve.png;037_RF5.0_Ni0_Ru0/deliverables/037_RF5.0_Ni0_Ru0_components.png;037_RF5.0_Ni0_Ru0/deliverables/037_RF5.0_Ni0_Ru0_baseline_zoom.png;037_RF5.0_Ni0_Ru0/swv_data.csv
38;5.0;0;0;0;25;50;15.06;8.00e-08;1.000;4088.3143;-0.2400;60.00;5.5318;3.15;1299.5;0.9984;57.5;0.23;0.60;OK;038_RF5.0_Ni0_Ru50;038_RF5.0_Ni0_Ru50/deliverables/038_RF5.0_Ni0_Ru50_SWV_curve.png;038_RF5.0_Ni0_Ru50/deliverables/038_RF5.0_Ni0_Ru50_components.png;038_RF5.0_Ni0_Ru50/deliverables/038_RF5.0_Ni0_Ru50_baseline_zoom.png;038_RF5.0_Ni0_Ru50/swv_data.csv
39;5.0;0;0;0;25;100;15.06;8.00e-08;1.000;4068.4044;-0.2400;60.00;5.5316;2.40;1697.8;0.9985;57.6;0.46;0.60;OK;039_RF5.0_Ni0_Ru100;039_RF5.0_Ni0_Ru100/deliverables/039_RF5.0_Ni0_Ru100_SWV_curve.png;039_RF5.0_Ni0_Ru100/deliverables/039_RF5.0_Ni0_Ru100_components.png;039_RF5.0_Ni0_Ru100/deliverables/039_RF5.0_Ni0_Ru100_baseline_zoom.png;039_RF5.0_Ni0_Ru100/swv_data.csv
40;5.0;0;0;0;25;200;15.06;8.00e-08;1.000;4027.7109;-0.2400;60.00;5.5311;3.10;1300.7;0.9985;57.9;0.91;0.60;OK;040_RF5.0_Ni0_Ru200;040_RF5.0_Ni0_Ru200/deliverables/040_RF5.0_Ni0_Ru200_SWV_curve.png;040_RF5.0_Ni0_Ru200/deliverables/040_RF5.0_Ni0_Ru200_components.png;040_RF5.0_Ni0_Ru200/deliverables/040_RF5.0_Ni0_Ru200_baseline_zoom.png;040_RF5.0_Ni0_Ru200/swv_data.csv
41;5.0;0;0;0;25;500;15.06;8.00e-08;1.000;3919.7236;-0.2400;64.00;5.5313;3.24;1209.2;0.9986;58.5;2.24;0.60;OK;041_RF5.0_Ni0_Ru500;041_RF5.0_Ni0_Ru500/deliverables/041_RF5.0_Ni0_Ru500_SWV_curve.png;041_RF5.0_Ni0_Ru500/deliverables/041_RF5.0_Ni0_Ru500_components.png;041_RF5.0_Ni0_Ru500/deliverables/041_RF5.0_Ni0_Ru500_baseline_zoom.png;041_RF5.0_Ni0_Ru500/swv_data.csv
42;5.0;0;0;0;25;1000;15.06;8.00e-08;1.000;3744.4150;-0.2400;60.00;5.5305;3.18;1176.6;0.9988;59.6;4.39;0.60;OK;042_RF5.0_Ni0_Ru1000;042_RF5.0_Ni0_Ru1000/deliverables/042_RF5.0_Ni0_Ru1000_SWV_curve.png;042_RF5.0_Ni0_Ru1000/deliverables/042_RF5.0_Ni0_Ru1000_components.png;042_RF5.0_Ni0_Ru1000/deliverables/042_RF5.0_Ni0_Ru1000_baseline_zoom.png;042_RF5.0_Ni0_Ru1000/swv_data.csv
43;5.0;5;0;0;25;0;15.06;7.60e-08;0.950;3881.4706;-0.2440;60.00;6.1043;13.97;277.8;0.9985;61.1;0.00;0.60;OK;043_RF5.0_Ni5_Ru0;043_RF5.0_Ni5_Ru0/deliverables/043_RF5.0_Ni5_Ru0_SWV_curve.png;043_RF5.0_Ni5_Ru0/deliverables/043_RF5.0_Ni5_Ru0_components.png;043_RF5.0_Ni5_Ru0/deliverables/043_RF5.0_Ni5_Ru0_baseline_zoom.png;043_RF5.0_Ni5_Ru0/swv_data.csv
44;5.0;5;0;0;25;50;15.06;7.60e-08;0.950;3858.6432;-0.2400;60.00;6.1036;14.11;273.5;0.9985;61.3;0.24;0.60;OK;044_RF5.0_Ni5_Ru50;044_RF5.0_Ni5_Ru50/deliverables/044_RF5.0_Ni5_Ru50_SWV_curve.png;044_RF5.0_Ni5_Ru50/deliverables/044_RF5.0_Ni5_Ru50_components.png;044_RF5.0_Ni5_Ru50/deliverables/044_RF5.0_Ni5_Ru50_baseline_zoom.png;044_RF5.0_Ni5_Ru50/swv_data.csv
45;5.0;5;0;0;25;100;15.06;7.60e-08;0.950;3841.4666;-0.2400;60.00;6.1047;14.10;272.4;0.9985;61.4;0.47;0.60;OK;045_RF5.0_Ni5_Ru100;045_RF5.0_Ni5_Ru100/deliverables/045_RF5.0_Ni5_Ru100_SWV_curve.png;045_RF5.0_Ni5_Ru100/deliverables/045_RF5.0_Ni5_Ru100_components.png;045_RF5.0_Ni5_Ru100/deliverables/045_RF5.0_Ni5_Ru100_baseline_zoom.png;045_RF5.0_Ni5_Ru100/swv_data.csv
46;5.0;5;0;0;25;200;15.06;7.60e-08;0.950;3811.6974;-0.2400;60.00;6.1027;13.24;287.8;0.9986;61.6;0.94;0.60;OK;046_RF5.0_Ni5_Ru200;046_RF5.0_Ni5_Ru200/deliverables/046_RF5.0_Ni5_Ru200_SWV_curve.png;046_RF5.0_Ni5_Ru200/deliverables/046_RF5.0_Ni5_Ru200_components.png;046_RF5.0_Ni5_Ru200/deliverables/046_RF5.0_Ni5_Ru200_baseline_zoom.png;046_RF5.0_Ni5_Ru200/swv_data.csv
47;5.0;5;0;0;25;500;15.06;7.60e-08;0.950;3703.9086;-0.2400;64.00;6.1044;13.80;268.4;0.9986;62.2;2.34;0.60;OK;047_RF5.0_Ni5_Ru500;047_RF5.0_Ni5_Ru500/deliverables/047_RF5.0_Ni5_Ru500_SWV_curve.png;047_RF5.0_Ni5_Ru500/deliverables/047_RF5.0_Ni5_Ru500_components.png;047_RF5.0_Ni5_Ru500/deliverables/047_RF5.0_Ni5_Ru500_baseline_zoom.png;047_RF5.0_Ni5_Ru500/swv_data.csv
48;5.0;5;0;0;25;1000;15.06;7.60e-08;0.950;3555.1014;-0.2400;60.00;6.1023;12.64;281.3;0.9988;63.2;4.59;0.60;OK;048_RF5.0_Ni5_Ru1000;048_RF5.0_Ni5_Ru1000/deliverables/048_RF5.0_Ni5_Ru1000_SWV_curve.png;048_RF5.0_Ni5_Ru1000/deliverables/048_RF5.0_Ni5_Ru1000_components.png;048_RF5.0_Ni5_Ru1000/deliverables/048_RF5.0_Ni5_Ru1000_baseline_zoom.png;048_RF5.0_Ni5_Ru1000/swv_data.csv
49;5.0;10;0;0;25;0;15.06;7.20e-08;0.900;3651.7769;-0.2400;60.00;6.6769;27.56;132.5;0.9983;64.6;0.00;0.60;OK;049_RF5.0_Ni10_Ru0;049_RF5.0_Ni10_Ru0/deliverables/049_RF5.0_Ni10_Ru0_SWV_curve.png;049_RF5.0_Ni10_Ru0/deliverables/049_RF5.0_Ni10_Ru0_components.png;049_RF5.0_Ni10_Ru0/deliverables/049_RF5.0_Ni10_Ru0_baseline_zoom.png;049_RF5.0_Ni10_Ru0/swv_data.csv
50;5.0;10;0;0;25;50;15.06;7.20e-08;0.900;3640.8051;-0.2440;60.00;6.6749;25.86;140.8;0.9983;64.7;0.25;0.60;OK;050_RF5.0_Ni10_Ru50;050_RF5.0_Ni10_Ru50/deliverables/050_RF5.0_Ni10_Ru50_SWV_curve.png;050_RF5.0_Ni10_Ru50/deliverables/050_RF5.0_Ni10_Ru50_components.png;050_RF5.0_Ni10_Ru50/deliverables/050_RF5.0_Ni10_Ru50_baseline_zoom.png;050_RF5.0_Ni10_Ru50/swv_data.csv
51;5.0;10;0;0;25;100;15.06;7.20e-08;0.900;3618.9690;-0.2400;60.00;6.6774;27.54;131.4;0.9983;64.8;0.49;0.60;OK;051_RF5.0_Ni10_Ru100;051_RF5.0_Ni10_Ru100/deliverables/051_RF5.0_Ni10_Ru100_SWV_curve.png;051_RF5.0_Ni10_Ru100/deliverables/051_RF5.0_Ni10_Ru100_components.png;051_RF5.0_Ni10_Ru100/deliverables/051_RF5.0_Ni10_Ru100_baseline_zoom.png;051_RF5.0_Ni10_Ru100/swv_data.csv
52;5.0;10;0;0;25;200;15.06;7.20e-08;0.900;3591.2842;-0.2400;60.00;6.6762;28.30;126.9;0.9983;65.0;0.98;0.60;OK;052_RF5.0_Ni10_Ru200;052_RF5.0_Ni10_Ru200/deliverables/052_RF5.0_Ni10_Ru200_SWV_curve.png;052_RF5.0_Ni10_Ru200/deliverables/052_RF5.0_Ni10_Ru200_components.png;052_RF5.0_Ni10_Ru200/deliverables/052_RF5.0_Ni10_Ru200_baseline_zoom.png;052_RF5.0_Ni10_Ru200/swv_data.csv
53;5.0;10;0;0;25;500;15.06;7.20e-08;0.900;3506.5599;-0.2400;64.00;6.6759;26.99;129.9;0.9984;65.6;2.43;0.60;OK;053_RF5.0_Ni10_Ru500;053_RF5.0_Ni10_Ru500/deliverables/053_RF5.0_Ni10_Ru500_SWV_curve.png;053_RF5.0_Ni10_Ru500/deliverables/053_RF5.0_Ni10_Ru500_components.png;053_RF5.0_Ni10_Ru500/deliverables/053_RF5.0_Ni10_Ru500_baseline_zoom.png;053_RF5.0_Ni10_Ru500/swv_data.csv
54;5.0;10;0;0;25;1000;15.06;7.20e-08;0.900;3359.1565;-0.2400;60.00;6.6720;24.48;137.2;0.9986;66.5;4.80;0.60;OK;054_RF5.0_Ni10_Ru1000;054_RF5.0_Ni10_Ru1000/deliverables/054_RF5.0_Ni10_Ru1000_SWV_curve.png;054_RF5.0_Ni10_Ru1000/deliverables/054_RF5.0_Ni10_Ru1000_components.png;054_RF5.0_Ni10_Ru1000/deliverables/054_RF5.0_Ni10_Ru1000_baseline_zoom.png;054_RF5.0_Ni10_Ru1000/swv_data.csv
